song_name,video_id,title,artist,release_date,views,likes,comments,error
晴る,CkvWJNt77mU,ヨルシカ - 晴る（OFFICIAL VIDEO）,ヨルシカ / n-buna Official,2024-03-05T09:00:13Z,49662786,380704,6419,
Dusk Till Dawn (feat. Sia) - Radio Edit,eNd4tt9raeg,ZAYN - Dusk Till Dawn (Audio) ft. Sia | Radio Edit |,kINFINITY,2017-09-07T17:25:39Z,2429449,27763,356,
TiK ToK,iP6XpLQM2Cs,Ke$ha - TiK ToK (Official HD Video),keshaVEVO,2009-11-14T13:10:59Z,716041156,5009808,216802,
GGUM,1T9tLMh99Wo,연준 (YEONJUN) ‘GGUM’ Official MV,HYBE LABELS,2024-09-19T09:00:01Z,36440417,1003785,56770,
Again,kbEC-AGr9n0,LISA - BORN AGAIN feat. Doja Cat &amp; RAYE (Official Music Video),LLOUD Official,2025-02-07T00:00:07Z,51796947,2202227,124871,
Something About You,0VAAS9xnS5U,EYEDRESS - SOMETHING ABOUT YOU (FEAT. DENT MAY) (OFFICIAL VIDEO),EYEDRESS,2021-06-02T17:00:10Z,20553145,387097,4460,
We Found Love,tg00YEETFzg,Rihanna - We Found Love ft. Calvin Harris,RihannaVEVO,2011-10-20T04:00:00Z,1156734031,5176463,225712,
Love In The Dark,53L4-OfOGVg,Love In The Dark - Adele (แปลไทย &amp; เนื้อเพลง),สากลในวันที่ดือ,2021-08-26T11:47:51Z,484791,7783,76,
Angels Like You,oDbjcMYXpIY,Miley Cyrus - Angels Like You (Lyrics),7clouds,2023-04-05T12:46:45Z,41005617,181405,2733,
Another Love,MwpMEbgC7DA,Tom Odell - Another Love (Official Video),TomOdellVEVO,2012-11-05T08:00:15Z,1048757608,9293557,209928,
you broke me first,AG-erEMhumc,Tate McRae - you broke me first (Official Video),TateMcRaeVEVO,2020-04-17T15:00:13Z,291692283,3752911,53755,
Wake Me Up,5y_KJAg8bHI,Avicii - Wake Me Up (Official Lyric Video),AviciiOfficialVEVO,2013-06-28T19:09:38Z,499040882,2770073,121788,
Slow It Down,f4Y3b7un4LE,Benson Boone - Slow It Down (Official Music Video),Benson Boone,2024-03-21T23:00:18Z,61884852,495325,12259,
In The Stars,jDRuZ0B3ZHY,แปลเพลง In The Stars - Benson Boone (Thaisub ความหมาย ซับไทย),Educatepark,2022-05-10T07:13:25Z,207881,2143,20,
The Color Violet,wR9TVF2c-n4,Tory Lanez - The Color Violet แปลไทย,pt_fifteen,2021-12-31T05:13:57Z,100986,1435,15,
It's ok I'm ok,Bpaf6Dm9iRc,Tate McRae - It&#39;s ok I&#39;m ok (Official Video),TateMcRaeVEVO,2024-09-13T00:00:06Z,34792899,527020,21048,
Just Dance,CyfM2o0d0IE,Just Dance 2020: Shakira - Waka Waka (This Time for Africa) Versión Futbolera - (MEGASTAR),Victor Luna (Just Dance),2020-04-02T02:11:57Z,117186286,291054,4142,
Smack That,bKDdT_nyP54,Akon - Smack That (Official Music Video) ft. Eminem,AkonVEVO,2009-12-13T21:59:31Z,1405707634,9676302,231106,
Pink Pony Club,sRtJ3vmQviU,Chappell Roan - Pink Pony Club (Lyrics),The Vibe Guide,2025-02-08T16:31:34Z,359876,2507,95,
Heavy,5dmQ3QWpy1Q,Heavy [Official Music Video] - Linkin Park (feat. Kiiara),Linkin Park,2017-03-09T15:00:01Z,207559266,1968433,93882,
Take Me To Church,PVjiKRfKpPI,Hozier - Take Me To Church,HozierVEVO,2014-03-25T14:00:03Z,915284906,8071186,266229,
I Don't Wanna Wait,dSDbwfXX5_I,David Guetta &amp; OneRepublic - I Don&#39;t Wanna Wait (Official Video),David Guetta,2024-04-25T16:00:07Z,81696472,528536,9676,
Before You Go,Jtauh8GcxBY,Lewis Capaldi - Before You Go (Official Video),LewisCapaldiVEVO,2020-01-24T18:00:11Z,406720021,3968287,59688,
welcome and goodbye,DWJh0Dny5Ug,"Dream, Ivory - welcome and goodbye (Official Video)",DreamIvoryVEVO,2022-04-29T04:00:31Z,12359195,159569,2094,
