song_name,video_id,title,artist,release_date,views,likes,comments,error
bad,o9DhvbqYzns,G-DRAGON - TOO BAD (feat. Anderson .Paak) (Official Video),OfficialGDRAGON,2025-02-25T05:02:00Z,7501959,437848,30415,
Perfect Night,bagucl7jjiM,LE SSERAFIM (르세라핌) &#39;Perfect Night&#39; (Color Coded Lyrics),Jaeguchi,2023-10-27T09:03:42Z,8385639,51639,1197,
Perfect,2Vv-BfVoq4g,Ed Sheeran - Perfect (Official Music Video),Ed Sheeran,2017-11-09T11:04:14Z,3895346480,22353292,562491,
End of Beginning,B3Z4XGAxJB0,Djo - End Of Beginning (Lyrics),Dan Music,2024-02-27T13:55:19Z,76128837,449569,11861,
Closer,PT2_F-1esPk,The Chainsmokers - Closer (Lyric) ft. Halsey,ChainsmokersVEVO,2016-07-29T07:00:02Z,3196542922,14430694,402816,
Photograph,KKQl-pIRQMY,Ed Sheeran - Photograph (Official Lyric Video),Ed Sheeran,2024-06-20T23:00:10Z,11902388,59207,1115,
CRAZY,n6B5gQXlB-0,LE SSERAFIM (르세라핌) &#39;CRAZY&#39; OFFICIAL MV,HYBE LABELS,2024-08-30T03:58:08Z,124677141,1383988,67815,
Please Please Please,YiQ7qiL73aI,Sabrina Carpenter - Please Please Please ft. Dolly Parton,SabrinaCarpenterVEVO,2025-02-14T05:00:36Z,9473509,453120,18503,
Payphone,bbdsIR4UHDg,"Maroon 5, Wiz Khalifa – Payphone (Lyrics)",Latin City,2024-08-22T13:53:10Z,3282446,16880,914,
drunk text,gkciKjOLj-0,Henry Moodie - drunk text (Lyrics),Ethereal Music,2023-06-07T21:45:02Z,37061055,123964,1863,
SHEESH,2wA_b6YHjqQ,BABYMONSTER - ‘SHEESH’ M/V,BABYMONSTER,2024-03-31T15:00:08Z,335781617,4126160,239573,
Unforgettable,CTFtOOh47oo,French Montana - Unforgettable ft. Swae Lee,FrenchMontanaVEVO,2017-04-14T04:01:00Z,1791686864,8472984,180027,
Yellow,yKNxeF4KMsY,Coldplay - Yellow (Official Video),Coldplay,2011-05-30T13:12:47Z,1150409503,6116348,159088,
FAKE LOVE,7C2z4GqqS5E,BTS (방탄소년단) &#39;FAKE LOVE&#39; Official MV,HYBE LABELS,2018-05-18T09:00:02Z,1313262661,21824977,4446714,
Talking to the Moon,fXw0jcYbqdo,Bruno Mars - Talking To The Moon (Official Lyric Video),Bruno Mars,2020-10-02T17:37:37Z,194173450,2441703,40593,
SPOT!,xfqBQ2XhBCg,ZICO (지코) ‘SPOT! (feat. JENNIE)’ Official MV,HYBE LABELS,2024-04-26T09:00:08Z,122708894,2480526,139067,
Armageddon,nFYwcndNuOY,aespa 에스파 &#39;Armageddon&#39; MV,SMTOWN,2024-05-27T09:06:53Z,119879474,1691273,87384,
Love Yourself,oyEuk8j8imI,Justin Bieber - Love Yourself (PURPOSE : The Movement),JustinBieberVEVO,2015-11-14T15:00:01Z,1769279386,8502675,259932,
Diet Pepsi,Hki6RqI-eMA,Addison Rae - Diet Pepsi (Official Video),AddisonRaeVEVO,2024-08-09T04:00:07Z,19944372,315424,12010,
Drama,I8I51kSq448,G-DRAGON - DRAMA (Official Video),OfficialGDRAGON,2025-02-25T05:01:06Z,5030529,348723,26442,
Too Sweet,NTpbbQUBbuo,Hozier - Too Sweet (Official Video),HozierVEVO,2024-05-10T18:00:08Z,120935273,873086,13235,
Ditto,Km71Rr9K-Bw,NewJeans (뉴진스) &#39;Ditto&#39; Performance Video,NewJeans,2022-12-30T10:00:01Z,175212128,1396812,21612,
Timeless (feat. Playboi Carti),5EpyN_6dqyk,"The Weeknd, Playboi Carti - Timeless",TheWeekndVEVO,2024-09-30T16:00:07Z,69214245,1101001,27545,
Sailor Song,KZGWfHdfWQs,Gigi Perez - Sailor Song (Lyrics),7clouds Rock,2024-11-08T14:47:31Z,36704528,183840,9218,
OMG,sVTy_wmn5SU,NewJeans (뉴진스) &#39;OMG&#39; Official MV (Performance ver.1),HYBE LABELS,2023-01-03T11:30:01Z,311278660,2179665,48494,
Ghost,Fp8msa5uYsc,Justin Bieber - Ghost,JustinBieberVEVO,2021-10-08T04:00:10Z,399201841,3747510,112771,
Supernova,phuiiNCxRMg,aespa 에스파 &#39;Supernova&#39; MV,SMTOWN,2024-05-13T09:00:41Z,177431758,2082512,108873,
Fortnight (feat. Post Malone),q3zqJs7JUCQ,Taylor Swift - Fortnight (feat. Post Malone) (Official Music Video),Taylor Swift,2024-04-20T00:00:06Z,138803764,2058131,103671,
Open Arms (feat. Travis Scott),dwo4o0uDiX8,SZA - Open Arms (Lyrics) ft. Travis Scott,Vibe Music,2023-05-05T15:59:30Z,15353590,66663,1472,
greedy,To4SWGZkEPk,Tate McRae - greedy (Official Video),TateMcRaeVEVO,2023-09-15T04:00:09Z,194296964,1538813,25024,
