Track,Artist,Listeners,Playcount,Album,Tags,URL
Summertime Sadness,Lana Del Rey,2037511,27465648,Born to Die - The Paradise Edition,"['indie', 'pop', 'female vocalists', 'Lana Del Rey', 'indie pop']",https://www.last.fm/music/Lana+Del+Rey/_/Summertime+Sadness
Blinding Lights,The Weeknd,1929506,31643544,Now 35,"['synthpop', 'synthwave', 'pop', '2019', '2010s']",https://www.last.fm/music/The+Weeknd/_/Blinding+Lights
Counting Stars,OneRepublic,1652365,16211010,Native,"['pop rock', 'rock', 'pop', 'love at first listen', 'melancholic']",https://www.last.fm/music/OneRepublic/_/Counting+Stars
happier,Olivia Rodrigo,934256,14675393,SOUR (Video Version),"['pop', 'folk', 'indie pop', 'singer-songwriter', 'piano']",https://www.last.fm/music/Olivia+Rodrigo/_/happier
Say Yes To Heaven,Lana Del Rey,1013974,12205273,N/A,"['alternative', 'dream pop', 'indie', 'pop', 'indie pop']",https://www.last.fm/music/Lana+Del+Rey/_/Say+Yes+To+Heaven
No One Noticed,The Marías,702547,11440803,Submarine,"['dream pop', 'Neo-Psychedelia', 'bedroom pop', 'Sophisti-Pop', 'singer-songwriter']",https://www.last.fm/music/The+Mar%C3%ADas/_/No+One+Noticed
Circles,Post Malone,1220848,17282771,Now That's What I Call Music! Vol. 73,"['pop', 'indie pop', '2010s', '2019', 'pop rock']",https://www.last.fm/music/Post+Malone/_/Circles
a thousand years,Christina Perri,845027,6713524,A Thousand Years,"['pop', 'Soundtrack', 'female vocalists', 'love at first listen', 'breaking dawn']",https://www.last.fm/music/Christina+Perri/_/A+Thousand+Years
Boom Boom Bass,RIIZE,103092,1360789,RIIZING - The 1st Mini Album,"['Korean', 'k-pop', 'love at first listen', 'Kpop', 'soty']",https://www.last.fm/music/RIIZE/_/Boom+Boom+Bass
Interlude : Showtime,Jimin,86493,9266413,N/A,"['cannibalism', 'mid', 'Dr Pepper', 'peepee', 'Pelotudo']",https://www.last.fm/music/jimin/_/Interlude+:+Showtime
As It Was,Harry Styles,1619733,34708700,Harry’s House,"['pop', 'synthpop', 'rock', 'indie pop', 'british']",https://www.last.fm/music/Harry+Styles/_/As+It+Was
Heat Waves,Glass Animals,1238392,19302985,Chilled Acoustic,"['indie', 'psychedelic pop', 'pop', 'rnb', 'electronic']",https://www.last.fm/music/Glass+Animals/_/Heat+Waves
New Jeans,NewJeans,697571,17155534,Get Up,"['k-pop', 'pop', 'rnb', 'love at first listen', 'UK Garage']",https://www.last.fm/music/NewJeans/_/New+Jeans
we fell in love in october,girl in red,1386712,17614706,N/A,"['dream pop', 'bedroom pop', 'indie pop', 'singer-songwriter', 'jangle pop']",https://www.last.fm/music/Girl+In+Red/_/We+Fell+In+Love+In+October
