Track,Artist,Listeners,Playcount
Another Love,Tom Odell,1186911,14651654
you broke me first,Tate McRae,657108,6980731
Wake Me Up,Avicii,1458341,12984279
Slow It Down,Benson Boone,368155,3198838
In The Stars,Benson Boone,336588,3436653
The Color Violet,Tory Lanez,788351,18950398
It's ok I'm ok,Tate McRae,347104,5840565
Just Dance,"Lady Gaga, Colby O'Donis",2246359,20403864
Smack That,"Akon, Eminem",15166,69175
Pink Pony Club,Chappell Roan,985903,15120589
Heavy,The Marías,436440,5288590
Take Me To Church,Hozier,1842599,21987311
I Don't Wanna Wait,"David Guetta, OneRepublic",4179,23217
Before You Go,Lewis Capaldi,599634,6019043
welcome and goodbye,"Dream, Ivory",713529,9039828
Deja Vu,TOMORROW X TOGETHER,208925,9367179
Waiting For Love,Avicii,761418,6106234
Someone Like You,Adele,1831040,17546683
Be Mine,Jimin,108786,13803685
Houdini,Dua Lipa,764639,13652994
Stargazing,Myles Smith,307076,2095520
Stay With Me,Sam Smith,1067679,8537398
Anugerah Terindah,Andmesh,5549,38478
Gimme More,Britney Spears,1554700,16329923
Ma Meilleure Ennemie (from the series Arcane League of Legends),"Arcane, Stromae, Pomme",4075,45964
360,Charli xcx,1240278,23452215
TV,Billie Eilish,848397,12445429
Outside (feat. Ellie Goulding),"Calvin Harris, Ellie Goulding",722727,6211004
Again (feat. XXXTENTACION),"Noah Cyrus, XXXTENTACION",6165,49669
Shallow,"Lady Gaga, Bradley Cooper",22743,133519
Hymn for the Weekend,Coldplay,943625,8570291
BLUE,Billie Eilish,726250,9812015
Training Season,Dua Lipa,568786,8030676
God's Plan,Drake,1151659,11230894
Loveeeeeee Song,"Rihanna, Future",514518,4907546
The Cut That Always Bleeds,Conan Gray,430177,5600929
The Man Who Can't Be Moved,The Script,937825,7525696
exes,Tate McRae,517389,8345022
HOT TO GO!,Chappell Roan,1207659,22911361
Iris,The Goo Goo Dolls,1388584,10434484
Art Deco,Lana Del Rey,804948,11136335
I Had Some Help (Feat. Morgan Wallen),"Post Malone, Morgan Wallen",6307,62277
Good Looking,Suki Waterhouse,1004594,14125543
Crazy In Love (feat. JAY-Z),"Beyoncé, JAY-Z",1279985,9204586
Ric Flair Drip (with Metro Boomin),"Offset, Metro Boomin",10558,73897
Casual,Chappell Roan,929440,18352338
'Cause You Have To,LANY,43281,534038
Empire State Of Mind,"JAY-Z, Alicia Keys",60326,498165
Stressed Out,Twenty One Pilots,1499118,15573800
CROOKED,G-DRAGON,92426,779860
Apple,Charli xcx,1100645,15961867
Lovin On Me,Jack Harlow,571687,5191248
when the party's over,Billie Eilish,1281456,16658971
ただ君に晴れ,ヨルシカ,64782,421623
Yeah! (feat. Lil Jon & Ludacris),"USHER, Lil Jon, Ludacris",16026,66083
Give Me Everything (feat. Nayer),"Pitbull, AFROJACK, Ne-Yo, Nayer",8808,40220
Fantastic Baby,BIGBANG,184634,1712203
everything i wanted,Billie Eilish,1159182,16702345
Somebody That I Used To Know,"Gotye, Kimbra",2198889,24698985
Video Games,Lana Del Rey,1903167,24827848
Always Forever,Cults,1203942,13613958
Everybody Wants To Rule The World,Tears For Fears,2213962,23304306
Right Now,One Direction,357720,3330745
Red Wine Supernova,Chappell Roan,1000861,21485883
"Hey, Soul Sister",Train,1450700,10097916
Mr. Loverman,Ricky Montgomery,512594,5352256
Shut Up and Dance,WALK THE MOON,1126631,9695496
Jealous,Eyedress,1259959,16843345
18,One Direction,509928,4988588
We Belong Together,Mariah Carey,858775,7793790
Closer Than This,Jimin,148197,31540038
Promiscuous,"Nelly Furtado, Timbaland",1794634,15650240
A Bar Song (Tipsy),Shaboozey,470226,4006645
だから僕は音楽を辞めた,ヨルシカ,51531,357388
Pain,PinkPantheress,1394182,25688677
Sei Tocar Violão - Ao Vivo,Clayton & Romário,21320,107410
TAIDADA,ZUTOMAYO,49711,389171
Smeraldo Garden Marching Band (feat. Loco),"Jimin, Loco",14077,8536071
Hips Don't Lie (feat. Wyclef Jean),"Shakira, Wyclef Jean",1200648,8157942
THE GREATEST,Billie Eilish,740586,10897325
Dilemma,"Nelly, Kelly Rowland",1015042,5312279
Haru Haru,BIGBANG,113718,1002077
UNDEAD,YOASOBI,51054,515370
Try,P!nk,639120,5371075
Line Without a Hook,Ricky Montgomery,604875,8433105
Nice Guy,BOYNEXTDOOR,64537,986022
So Sick,Ne-Yo,1023981,6079137
Only Girl (In The World),Rihanna,1763084,16571316
My Boo,"USHER, Alicia Keys",13487,54696
Breakeven,The Script,1095588,8597415
Eastside (with Halsey & Khalid),"benny blanco, Halsey, Khalid",6812,39747
Paradise,Coldplay,1639486,15195317
Unwritten,Natasha Bedingfield,1384177,11101974
Starships,Nicki Minaj,1523071,12017118
Impossible,James Arthur,442033,3617557
Lemon,Kenshi Yonezu,120959,1270371
Lush Life,Zara Larsson,871992,7375974
Zombie,The Cranberries,2212224,17704479
Send My Love (To Your New Lover),Adele,770223,6103351
Supersonic,fromis_9,129381,2543601
Needed Me,Rihanna,1164131,12889191
You Get Me So High,The Neighbourhood,1062055,16849548
インフェルノ,Mrs. GREEN APPLE,232031,2730667
I Gotta Feeling,Black Eyed Peas,1968034,13198140
LOSER,BIGBANG,139743,1348139
"Earth, Wind & Fire",BOYNEXTDOOR,114126,2049086
Dancing Queen,ABBA,2006429,15249349
Be Mine (English Version),Jimin,43372,5598350
Jimmy Cooks (feat. 21 Savage),"Drake, 21 Savage",12076,86070
Can't Hold Us (feat. Ray Dalton),"Macklemore, Ryan Lewis, Macklemore & Ryan Lewis, Ray Dalton",2738,10473
Baby Don't Hurt Me,"David Guetta, Anne-Marie, Coi Leray",7291,36369
Prada,"cassö, RAYE, D-Block Europe",9191,68157
