id,track_name,artist,album,popularity,release_date,spotify_url,Genre
2tHwzyyOLoWSFqYNjeVMzj,Please Please Please,Sabrina Carpenter,Short n' Sweet,83,2024-08-23,https://open.spotify.com/track/2tHwzyyOLoWSFqYNjeVMzj,pop
1XGmzt0PVuFgQYYnV2It7A,Payphone,"Maroon 5, Wiz Khalifa",Overexposed Track By Track,79,2012-01-01,https://open.spotify.com/track/1XGmzt0PVuFgQYYnV2It7A,pop
6EIMUjQ7Q8Zr2VtIUik4He,drunk text,Henry Moodie,in all of my lonely nights,75,2024-01-26,https://open.spotify.com/track/6EIMUjQ7Q8Zr2VtIUik4He,pop
1njlnn8ZKHI77Pe9szIONR,SHEESH,BABYMONSTER,BABYMONS7ER,74,2024-04-01,https://open.spotify.com/track/1njlnn8ZKHI77Pe9szIONR,pop
3B54sVLJ402zGa6Xm4YGNe,Unforgettable,"French Montana, Swae Lee",Jungle Rules,81,2017-07-14,https://open.spotify.com/track/3B54sVLJ402zGa6Xm4YGNe,pop
3AJwUDP919kvQ9QcozQPxg,Yellow,Coldplay,Parachutes,86,2000-07-10,https://open.spotify.com/track/3AJwUDP919kvQ9QcozQPxg,pop
6m1TWFMeon7ai9XLOzdbiR,FAKE LOVE,BTS,Love Yourself 轉 'Tear',74,2018-05-18,https://open.spotify.com/track/6m1TWFMeon7ai9XLOzdbiR,pop
161DnLWsx1i3u1JT05lzqU,Talking to the Moon,Bruno Mars,Doo-Wops & Hooligans,80,2010-05-11,https://open.spotify.com/track/161DnLWsx1i3u1JT05lzqU,pop
1SS0WlKhJewviwEDZ6dWj0,SPOT!,"ZICO, JENNIE",SPOT!,73,2024-04-26,https://open.spotify.com/track/1SS0WlKhJewviwEDZ6dWj0,pop
5eWcGfUCrVFMoYskyfkEPE,Armageddon,aespa,Armageddon - The 1st Album,68,2024-05-27,https://open.spotify.com/track/5eWcGfUCrVFMoYskyfkEPE,pop
50kpGaPAhYJ3sGmk6vplg0,Love Yourself,Justin Bieber,Purpose (Deluxe),80,2015-11-13,https://open.spotify.com/track/50kpGaPAhYJ3sGmk6vplg0,pop
6MzofobZt2dm0Kf1hTThFz,Diet Pepsi,Addison Rae,Diet Pepsi,81,2024-08-09,https://open.spotify.com/track/6MzofobZt2dm0Kf1hTThFz,pop
5XWlyfo0kZ8LF7VSyfS4Ew,Drama,aespa,Drama - The 4th Mini Album,75,2023-11-10,https://open.spotify.com/track/5XWlyfo0kZ8LF7VSyfS4Ew,pop
19XpFsce28aByvCC4g89tJ,Too Sweet,Hozier,Unreal Unearth: Unaired,81,2024-08-19,https://open.spotify.com/track/19XpFsce28aByvCC4g89tJ,pop
3r8RuvgbX9s7ammBn07D3W,Ditto,NewJeans,Ditto,74,2022-12-19,https://open.spotify.com/track/3r8RuvgbX9s7ammBn07D3W,pop
1Es7AUAhQvapIcoh3qMKDL,Timeless (feat. Playboi Carti),"The Weeknd, Playboi Carti",Timeless,88,2024-09-27,https://open.spotify.com/track/1Es7AUAhQvapIcoh3qMKDL,pop
2262bWmqomIaJXwCRHr13j,Sailor Song,Gigi Perez,Sailor Song,90,2024-07-26,https://open.spotify.com/track/2262bWmqomIaJXwCRHr13j,pop
65FftemJ1DbbZ45DUfHJXE,OMG,NewJeans,NewJeans 'OMG',74,2023-01-02,https://open.spotify.com/track/65FftemJ1DbbZ45DUfHJXE,pop
6I3mqTwhRpn34SLVafSH7G,Ghost,Justin Bieber,Justice,79,2021-03-19,https://open.spotify.com/track/6I3mqTwhRpn34SLVafSH7G,pop
2VdSktBqFfkW7y6q5Ik4Z4,Supernova,aespa,Armageddon - The 1st Album,67,2024-05-27,https://open.spotify.com/track/2VdSktBqFfkW7y6q5Ik4Z4,pop
2OzhQlSqBEmt7hmkYxfT6m,Fortnight (feat. Post Malone),"Taylor Swift, Post Malone",THE TORTURED POETS DEPARTMENT,80,2024-04-18,https://open.spotify.com/track/2OzhQlSqBEmt7hmkYxfT6m,pop
6koKhrBBcExADvWuOgceNZ,Open Arms (feat. Travis Scott),"SZA, Travis Scott",SOS,80,2022-12-08,https://open.spotify.com/track/6koKhrBBcExADvWuOgceNZ,pop
3rUGC1vUpkDG9CZFHMur1t,greedy,Tate McRae,greedy,82,2023-09-15,https://open.spotify.com/track/3rUGC1vUpkDG9CZFHMur1t,pop
3hxIUxnT27p5WcmjGUXNwx,Shut up My Moms Calling,Hotel Ugly,Shut up My Moms Calling,81,2020-02-10,https://open.spotify.com/track/3hxIUxnT27p5WcmjGUXNwx,pop
2nMeu6UenVvwUktBCpLMK9,Young And Beautiful,Lana Del Rey,Young And Beautiful,81,2013-01-01,https://open.spotify.com/track/2nMeu6UenVvwUktBCpLMK9,pop
6RUKPb4LETWmmr3iAEQktW,Something Just Like This,"The Chainsmokers, Coldplay",Memories...Do Not Open,84,2017-04-07,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW,pop
7fBv7CLKzipRk6EC6TWHOB,The Hills,The Weeknd,Beauty Behind The Madness,82,2015-08-28,https://open.spotify.com/track/7fBv7CLKzipRk6EC6TWHOB,pop
5mtTAScDytxMMqZj14NmlN,love.,wave to earth,0.1 flaws and all.,75,2023-04-20,https://open.spotify.com/track/5mtTAScDytxMMqZj14NmlN,pop
